scaffold	pos	A.A5	A.A6	A.A7	A.A8	A.S5	A.S6	A.S7	A.S8	F.A1	F.A2	F.A3	F.A4	F.S1	F.S2	F.S3	F.S4
scaffold441|size570437	9509	16.6666666666667	40	15	53.5714285714286	31.5789473684211	34.6153846153846	20.6896551724138	22.8571428571429	20.5128205128205	16.3265306122449	6.66666666666667	11.5384615384615	20.5128205128205	2.7027027027027	7.5	18.1818181818182
scaffold441|size570437	9510	5.88235294117647	18.1818181818182	25	24	20.6896551724138	43.75	8.33333333333333	33.3333333333333	4.16666666666667	11.7647058823529	11.1111111111111	4.34782608695652	9.09090909090909	14.2857142857143	3.125	5.88235294117647
scaffold441|size570437	9549	4.16666666666667	17.7777777777778	11.6279069767442	37.7358490566038	35.4838709677419	34.2857142857143	20.9302325581395	25	14.6341463414634	16.6666666666667	5.08474576271187	17.9245283018868	18.75	8.33333333333333	10.4477611940298	22.4489795918367
scaffold441|size570437	9550	16.6666666666667	34.375	17.6470588235294	23.3333333333333	27.2727272727273	32	15.3846153846154	23.6363636363636	5	14.5454545454545	2.32558139534884	9.52380952380952	9.80392156862745	17.2413793103448	3.84615384615385	17.1428571428571
scaffold441|size570437	9564	4.16666666666667	21.1538461538462	11.9047619047619	26.6666666666667	34.2857142857143	28.2051282051282	23.4042553191489	28.8135593220339	17.6470588235294	12.5	8.95522388059701	16.9491525423729	16.4556962025316	9.09090909090909	10.958904109589	18.3333333333333
scaffold441|size570437	9565	12	34.2105263157895	16.2162162162162	18.4210526315789	25.6410256410256	35.4838709677419	13.3333333333333	29.0322580645161	6.25	15.625	7.01754385964912	7.52688172043011	10.5263157894737	13.8888888888889	7.2463768115942	14.6341463414634
scaffold441|size570437	9569	3.57142857142857	20.7547169811321	6.12244897959184	28.5714285714286	32.5	28.2051282051282	20.7547169811321	29.0322580645161	18.8679245283019	9.87654320987654	8.45070422535211	15.8333333333333	17.5	11.1111111111111	8.64197530864197	16.3934426229508
scaffold441|size570437	9570	11.5384615384615	29.2682926829268	15.7894736842105	20.5128205128205	29.2682926829268	34.375	15.5555555555556	29.0322580645161	6.38297872340426	15.3846153846154	7.27272727272727	8.42105263157895	10.7142857142857	13.8888888888889	8.10810810810811	11.6279069767442
scaffold441|size570437	9597	9.80392156862745	22.2222222222222	4.6875	23.9130434782609	32.6923076923077	20.4081632653061	17.910447761194	27.3809523809524	16.2790697674419	9.91735537190083	3.57142857142857	15.2777777777778	12.280701754386	13.6363636363636	9.52380952380952	12.3287671232877
scaffold441|size570437	9598	10	25	19.6428571428571	14.2857142857143	34.7826086956522	36.5853658536585	10.6060606060606	23.75	11.1111111111111	8.33333333333333	4.81927710843374	8.59375	12.0481927710843	15.6862745098039	6.61157024793388	17.5438596491228
scaffold441|size570437	9619	6.25	25.5813953488372	4.61538461538462	23.5294117647059	26.3157894736842	25.3968253968254	12.8571428571429	28.8888888888889	8.2089552238806	7.58620689655172	3.44827586206897	8.33333333333333	9.01639344262295	12.6582278481013	8.92857142857143	12.0481927710843
scaffold441|size570437	9620	7.14285714285714	25	16.6666666666667	21.5686274509804	33.3333333333333	32.6530612244898	14.2857142857143	27.0588235294118	3.48837209302326	8.95522388059701	3.79746835443038	5.3030303030303	8.88888888888889	14.2857142857143	4.03225806451613	6.06060606060606
scaffold441|size570437	9654	11.4754098360656	26.25	6.45161290322581	26.0416666666667	29.5081967213115	23.1884057971014	11.5384615384615	24.1758241758242	13.4751773049645	13.2450331125828	6.74157303370786	13.1944444444444	14.1732283464567	8.86075949367089	9.64912280701754	16.25
scaffold441|size570437	9655	13.1578947368421	28.75	18.1818181818182	19.672131147541	30	40.4255319148936	13.5135135135135	30.6818181818182	10.2564102564103	15.3846153846154	6.94444444444444	13.8211382113821	13.3333333333333	16.9811320754717	8.59375	16.9230769230769
scaffold441|size570437	9663	8.33333333333333	25.974025974026	6.45161290322581	25.2747252747253	27.1186440677966	23.1884057971014	7.79220779220779	19.7802197802198	12.9770992366412	11.7241379310345	7.05882352941176	12.9496402877698	11.304347826087	8.21917808219178	9.1743119266055	16.0493827160494
scaffold441|size570437	9664	11.1111111111111	25.3164556962025	14.8148148148148	20.3389830508475	32	43.4782608695652	12.1621621621622	27.2727272727273	8	14.84375	7.35294117647059	13.9130434782609	12.9032258064516	16.9811320754717	9.09090909090909	19.3548387096774
scaffold441|size570437	9706	19.2307692307692	23.0769230769231	6.45161290322581	11.7647058823529	34.375	13.3333333333333	7.84313725490196	24.0740740740741	11.3924050632911	20.8955223880597	11.1111111111111	10.8108108108108	23.2876712328767	17.9487179487179	19.1176470588235	24
scaffold441|size570437	9707	24.1379310344828	32.5581395348837	18.4210526315789	17.7777777777778	26.3157894736842	48.3870967741936	16.6666666666667	38.4615384615385	15.0943396226415	31.1475409836066	14.5454545454545	21.4285714285714	20.6896551724138	38.8888888888889	26.3157894736842	25.5813953488372
scaffold441|size570437	9729	20	22.2222222222222	0	14.6341463414634	25.8064516129032	12.1212121212121	13.3333333333333	20.7547169811321	7.40740740740741	12.5	5.88235294117647	6.84931506849315	18.4615384615385	12.8205128205128	9.25925925925926	17.5
scaffold441|size570437	9730	10.3448275862069	21.2121212121212	11.7647058823529	20	29.0322580645161	45.4545454545455	10	33.3333333333333	11.3636363636364	25.3968253968254	13.953488372093	11.5384615384615	19.5652173913043	34.2857142857143	15.3846153846154	17.5
scaffold441|size570437	9840	5.55555555555556	14.2857142857143	16.6666666666667	23.3333333333333	25	42.8571428571429	31.5789473684211	13.0434782608696	23.0769230769231	22.2222222222222	15.3846153846154	0	20	31.25	13.6363636363636	33.3333333333333
scaffold441|size570437	10089	11.1111111111111	9.09090909090909	0	11.5384615384615	14.8148148148148	16.6666666666667	9.375	22.4137931034483	20	35.4166666666667	9.09090909090909	26.9230769230769	15.625	48.2758620689655	18.75	35.7142857142857
scaffold441|size570437	10090	8.51063829787234	9.67741935483871	7.14285714285714	12.8571428571429	6.81818181818182	12.1212121212121	4.28571428571429	17.3913043478261	7.57575757575758	17.2727272727273	17.7777777777778	13.2530120481928	14.8148148148148	34.0425531914894	16.0493827160494	25.531914893617
